RowNumber,CustomerId,CustomerName,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2501,15713378,Brownless,711,France,Male,38.0,10,0.0,2,0.0,0.0,53311.78,0
2502,15753370,McDonald,691,Germany,Female,38.0,5,114753.76,1,1.0,0.0,107665.02,0
2503,15782659,Mamelu,527,France,Male,32.0,0,0.0,1,1.0,0.0,109523.88,0
2504,15583364,McGregor,476,France,Female,32.0,6,111871.93,1,0.0,0.0,112132.86,0
2505,15625942,McDonald,619,Spain,Female,45.0,0,0.0,2,0.0,0.0,113645.4,0
2506,15720284,Crawford,607,Germany,Female,37.0,4,135927.06,1,0.0,0.0,180890.4,0
2507,15679642,Feng,695,Spain,Male,44.0,8,0.0,2,1.0,1.0,70974.13,0
2508,15628007,Genovese,653,France,Male,33.0,1,0.0,2,0.0,0.0,53379.52,0
2509,15661974,Pirozzi,677,France,Male,46.0,2,57037.74,1,1.0,1.0,158531.01,0
2510,15689341,Gibbs,655,France,Female,50.0,10,0.0,4,1.0,0.0,179267.94,1
2511,15607993,Milne,625,France,Female,52.0,2,79468.96,1,1.0,1.0,84606.03,0
2512,15693267,Dickson,679,Germany,Female,34.0,7,121063.85,1,1.0,0.0,56984.58,0
2513,15769522,O'Connor,734,France,Male,51.0,1,118537.47,1,1.0,1.0,116912.45,0
2514,15755825,McGuirk,666,France,Male,39.0,10,0.0,2,1.0,0.0,102999.33,0
2515,15598175,Toscani,592,Germany,Female,26.0,4,105082.07,2,1.0,0.0,132801.57,0
2516,15744327,Ruth,564,France,Male,40.0,4,0.0,1,1.0,0.0,85455.62,1
2517,15798666,Hughes,814,France,Female,36.0,6,0.0,2,1.0,1.0,98657.01,0
2518,15577064,Onyekaozulu,592,Germany,Male,36.0,2,104702.65,2,1.0,0.0,107948.72,0
2519,15759436,Aksenov,758,France,Female,50.0,2,95813.76,3,1.0,1.0,67944.09,1
2520,15690231,K'ung,612,Spain,Female,62.0,0,167026.61,2,1.0,1.0,192892.05,0
2521,15751561,Meng,498,Germany,Male,61.0,7,102453.26,1,1.0,0.0,187247.56,1
2522,15739068,Nwoye,638,Germany,Male,25.0,4,148045.45,2,1.0,1.0,114722.42,0
2523,15758056,Calabresi,558,France,Male,35.0,1,0.0,2,0.0,0.0,111687.57,0
2524,15742269,Milano,756,France,Female,24.0,1,0.0,2,1.0,0.0,184182.25,0
2525,15726490,Kirby,782,Spain,Male,52.0,4,0.0,1,1.0,1.0,52759.82,1
2526,15738411,Ho,505,France,Male,34.0,10,104498.79,1,0.0,1.0,126451.14,0
2527,15727919,Chukwuemeka,671,Spain,Female,29.0,6,0.0,2,0.0,0.0,12048.67,0
2528,15709396,Hale,801,France,Male,42.0,6,0.0,2,1.0,1.0,95804.33,0
2529,15654106,K?,604,France,Male,26.0,8,149542.52,2,0.0,1.0,197911.52,0
2530,15621653,Rice,716,France,Female,29.0,10,87946.39,1,1.0,1.0,182531.74,0
2531,15598086,Brown,624,France,Female,45.0,3,68639.57,1,1.0,0.0,168002.31,1
2532,15752300,Sagese,607,Germany,Male,47.0,4,148826.32,1,1.0,1.0,79450.61,0
2533,15658693,Aksyonova,827,France,Female,60.0,2,0.0,2,0.0,1.0,60615.83,0
2534,15631838,Findlay,606,France,Male,61.0,5,108166.09,2,0.0,1.0,8643.21,0
2535,15803804,Walker,717,Germany,Female,35.0,5,103214.71,1,1.0,0.0,172172.7,0
