CustomerId,CustomerName,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,ExtraColumn1,ExtraColumn2
ID-1495, Robert Miller ,581, Brazil ,woman,33,2,32152.05,1,1,0,"$38,062",0.0,,
ID-2856,"Jane,Garcia",632,South Korea,MAN,31,5,39483.65,3,Yes,1,99860.0,0.0,,
C1556,Lisa Miller,713,usa,_,29,6,124298.96,3,0,ACTIVE,84136.0,0.0,,
ME01945,DAVID DAVIS,749,MEXICO,  ,51,NONE,4401.72,3,1,False,116269.0,0.0,,
ID-2659,"David,Miller",538, Egypt ,Girl,35,3,32849.35,2,Y,1,61645.0,0.0,,
CUST_002438,"John,Johnson",679, Mexico,FEMALE,26,3,45239.53,2,0,1,57117.0,0.0,,
C2042,MARIA DAVIS,642,ITALY,male,33,2,89925.37,2,1,1,83160.0,0.0,,
2363,ROBERT MILLER,621,Italy,Male,27,UNKNOWN,0,1,0,0,#VALUE!,0.0,,
CUST_001868,Robert Martinez,9999, Saudi Arabia ,male,53,4,47357.95,#N/A,1,0,49174.0,0.0,,
CUST_002685,"Michael,Brown",502,Japan ,boy,28,6,32713.0,2,1,__,  ,0.0,,
C2206,"Maria,Johnson",602,SOUTH AFRICA,f,51,6,3725.81,1,1,INACTIVE,59967.0,0.0,,
CUST_002130,"Lisa,Garcia",468,peru,Woman,44,2,80775.29,3,N,0,74769.0,0.0,,
CUST_002844, David Rodriguez ,447, Egypt ,MAN,52,7,5162.27,4,NO,0,MISSING,0.0,,
1752,MICHAEL JONES,584,saudi arabia,FEMALE,60,4,95984.13,3,0,0,73622.0,0.0,,
C1145,DAVID GARCIA,626,uk,MALE,30,3,51357.13,2,0,1,76936.0,0.0,,
CUST_001569,"Lisa,Rodriguez",702,mexico,M,63,4,4755.16,1,1,0,134972.0,1.0,,
2718,Emily Williams,481, Nigeria ,Man,46,10,2908.72,2,1,0,41631.0,0.0,,
ID-2471,"Jane,Smith",498, Singapore,Woman,39,6,21978.56,2,1,0,74914.0,0.0,,
C1879, Robert Davis ,699, Spain,F,42,6,19980.36,2,Y,Inactive,111526.0,0.0,,
2299,emily brown,479, South Korea,female,53,5,"$27,641.75",1,0,true,22685.0,0.0,,
EG01223,Michael Garcia,523,Egypt ,man,40,4,38174.99,1,True,1,18843.0,0.0,,
CA01478,"Sarah,Jones",0,canada,f,34,7,127940.85,3,1,0,101006.0,0.0,,
CUST_001941,_,697,mexico,woman,39,6,41110.36,2,1,1,48593.0,0.0,,
SP02871,"Michael,Garcia",566,spain,MAN,61,6,,2,1,1,Null,0.0,,
C2556,Emily Jones,__,Spain,girl,20,5,45131.52,3,1,1,111514.0,0.0,,
C1331,lisa davis,592, Italy ,F,46,Null,"11,864.14",3,??,0,109179.0,0.0,,
1790,Robert Garcia,9999,Egypt,Male,47,2,46456.34,2,1,1,39504.0,0.0,,
C2779, John Miller ,575, Singapore,Male,27,3,73880.63,1,YES,ACTIVE,37894.0,0.0,,
SA01838, Jane Williams ,418,NIL,boy,20,3,72114.74,1,none,1,52617.0,0.0,,
ID-2146,jane johnson,572,SOUTH AFRICA,MAN,35,#NULL!,29796.98,4,1,0,87108.0,1.0,,
1276,MICHAEL DAVIS,--,Singapore,Woman,40,7,27689.11,1,1,ACTIVE,30229.0,0.0,,
1574, Lisa Martinez ,471, UAE ,Boy,36,2,,2,no,0,"$57,723",0.0,,
CUST_001275,MARIA DAVIS,656,USA,boy,43,1,141328.61,2,YES,0,79129.0,0.0,,
2972, Emily Johnson ,519, Germany,M,36,7,47202.6,1,0,inactive,117099.0,0.0,,
C1209,"Sarah,Brown",587,india,female,39,3,31627.82,2,1,0,67869.0,0.0,,
IT01077,DAVID SMITH,603,Italy,man,54,-5,22501.73,2,no,0,UNKNOWN,0.0,,
2517,David Rodriguez,450, Japan ,boy,35,4,35854.35,4,1,1,"$22,988",1.0,,
C1800,JOHN SMITH,401,Nigeria,M,40,5,74673.83,2,1,0,72771.0,0.0,,
ME02613, Lisa Martinez ,689,Mexico,woman,36,7,15553.51,1,1,1,undefined,0.0,,
C2952, James Miller ,717, Canada ,Female,42,NA,21626.75,3,0,0,41185.0,0.0,,
CUST_002294,John Smith,  ,Australia ,female,32,3,135545.95,2,0,1,63027.0,0.0,,
PE01097, Michael Garcia ,563, Peru,MALE,20,2,103852.89,2,1,0,76039.0,1.0,,
2563,Michael Miller,478,Nigeria,female,35,5,45798.04,2,False,0,"$55,169",1.0,,
CUST_002068, Jane Williams ,620,france,girl,18,2,4494.8,3,true,1,93211.0,0.0,,
CA01925,EMILY MILLER,9999,CANADA,WOMAN,23,3,1213.38,2,1,1,128384.0,0.0,,
BR01991,davidü davis,515,brazil,f,58,7,84104.93,3,1,FALSE,UNDEFINED,0.0,,
CUST_002458, James Martinez ,506,south africa,Girl,18,12,307928.13,2,false,0,77976.0,1.0,,
2717,lisa garcia,524,Peru ,Boy,43,6,"$4,292.71",3,0,inactive,71496.89,1.0,,
C1370,DAVID JONES,588,FRANCE,Boy,40,1,191648.55,4,No,0,62540.0,0.0,,
C1292,emily rodriguez,667,FRANCE,man,54,5,8410.79,4,false,1,94971.0,1.0,,
AR01794, James Martinez ,607,Argentina ,MAN,31,4,19081.71,-1, ,1,void,0.0,,
2569,Maria Rodriguez,714,canada,WOMAN,52,1,-,3,VOID,0,38976.0,0.0,,
CUST_002485,james miller,744,USA,FEMALE,38,VOID,12385.62,3,false,False,55646.0,0.0,,
ID-2495,DAVID JONES,629,Canada,Woman,50,3,"$47,902.05",2,1,TRUE,53732.0,0.0,,
1776, Robert Williams ,670,uk,Male,30,6,11614.42,2,NULL,false,null,0.0,,
,"James,Brown",527, India,f,18,6,31561.74,1,FALSE,0,"$46,740",0.0,,
